2024-06-16 15:54:52.615 INFO  com.hasity.business.BusinessApplication            19   restartedMain                     测试地址: http://localhost:18000/nls/hello
2024-06-16 15:55:41.348 INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener 211  File Watcher                     Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
2024-06-16 15:55:41.350 INFO  org.apache.coyote.http11.Http11NioProtocol         173  Thread-11                     Stopping ProtocolHandler ["http-nio-18000"]
2024-06-16 15:55:41.455 INFO  com.hasity.business.BusinessApplication            50   restartedMain                     Starting BusinessApplication using Java 17.0.7 with PID 9844 (D:\BaiduNetdiskDownload\nls\business\target\classes started by zjw16 in D:\BaiduNetdiskDownload\nls)
2024-06-16 15:55:41.455 INFO  com.hasity.business.BusinessApplication            654  restartedMain                     No active profile set, falling back to 1 default profile: "default"
2024-06-16 15:55:41.724 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer       109  restartedMain                     Tomcat initialized with port 18000 (http)
2024-06-16 15:55:41.725 INFO  org.apache.coyote.http11.Http11NioProtocol         173  restartedMain                     Initializing ProtocolHandler ["http-nio-18000"]
2024-06-16 15:55:41.725 INFO  org.apache.catalina.core.StandardService           173  restartedMain                     Starting service [Tomcat]
2024-06-16 15:55:41.725 INFO  org.apache.catalina.core.StandardEngine            173  restartedMain                     Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-06-16 15:55:41.740 INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/nls]  173  restartedMain                     Initializing Spring embedded WebApplicationContext
2024-06-16 15:55:41.740 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext     296  restartedMain                     Root WebApplicationContext: initialization completed in 283 ms
2024-06-16 15:55:42.179 INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer     59   restartedMain                     LiveReload server is running on port 35729
2024-06-16 15:55:42.189 INFO  org.apache.coyote.http11.Http11NioProtocol         173  restartedMain                     Starting ProtocolHandler ["http-nio-18000"]
2024-06-16 15:55:42.192 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer       241  restartedMain                     Tomcat started on port 18000 (http) with context path '/nls'
2024-06-16 15:55:42.195 INFO  com.hasity.business.BusinessApplication            56   restartedMain                     Started BusinessApplication in 0.767 seconds (process running for 641.137)
2024-06-16 15:55:42.196 INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener  63   restartedMain                     Condition evaluation unchanged
2024-06-16 15:55:42.197 INFO  com.hasity.business.BusinessApplication            18   restartedMain                     启动成功! 
2024-06-16 15:55:42.197 INFO  com.hasity.business.BusinessApplication            19   restartedMain                     测试地址: http://localhost:18000/nls/hello
2024-06-16 15:55:43.590 INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener 211  File Watcher                     Restarting due to 1 class path change (1 addition, 0 deletions, 0 modifications)
2024-06-16 15:55:43.591 INFO  org.apache.coyote.http11.Http11NioProtocol         173  Thread-15                     Stopping ProtocolHandler ["http-nio-18000"]
2024-06-16 15:55:43.664 INFO  com.hasity.business.BusinessApplication            50   restartedMain                     Starting BusinessApplication using Java 17.0.7 with PID 9844 (D:\BaiduNetdiskDownload\nls\business\target\classes started by zjw16 in D:\BaiduNetdiskDownload\nls)
2024-06-16 15:55:43.664 INFO  com.hasity.business.BusinessApplication            654  restartedMain                     No active profile set, falling back to 1 default profile: "default"
2024-06-16 15:55:43.865 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer       109  restartedMain                     Tomcat initialized with port 18000 (http)
2024-06-16 15:55:43.866 INFO  org.apache.coyote.http11.Http11NioProtocol         173  restartedMain                     Initializing ProtocolHandler ["http-nio-18000"]
2024-06-16 15:55:43.866 INFO  org.apache.catalina.core.StandardService           173  restartedMain                     Starting service [Tomcat]
2024-06-16 15:55:43.867 INFO  org.apache.catalina.core.StandardEngine            173  restartedMain                     Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-06-16 15:55:43.883 INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/nls]  173  restartedMain                     Initializing Spring embedded WebApplicationContext
2024-06-16 15:55:43.883 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext     296  restartedMain                     Root WebApplicationContext: initialization completed in 216 ms
2024-06-16 15:55:44.301 INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer     59   restartedMain                     LiveReload server is running on port 35729
2024-06-16 15:55:44.307 INFO  org.apache.coyote.http11.Http11NioProtocol         173  restartedMain                     Starting ProtocolHandler ["http-nio-18000"]
2024-06-16 15:55:44.310 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer       241  restartedMain                     Tomcat started on port 18000 (http) with context path '/nls'
2024-06-16 15:55:44.313 INFO  com.hasity.business.BusinessApplication            56   restartedMain                     Started BusinessApplication in 0.671 seconds (process running for 643.255)
2024-06-16 15:55:44.314 INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener  63   restartedMain                     Condition evaluation unchanged
2024-06-16 15:55:44.314 INFO  com.hasity.business.BusinessApplication            18   restartedMain                     启动成功! 
2024-06-16 15:55:44.315 INFO  com.hasity.business.BusinessApplication            19   restartedMain                     测试地址: http://localhost:18000/nls/hello
2024-06-16 16:00:16.453 INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener 211  File Watcher                     Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
2024-06-16 16:00:16.456 INFO  org.apache.coyote.http11.Http11NioProtocol         173  Thread-19                     Stopping ProtocolHandler ["http-nio-18000"]
